 Date__(UT)__HR:MN, , ,            delta,     deldot,  Tru_Anom,
****************************************************************
$$SOE
 2005-Jul-23 06:00, , , 4.91297120851732, -1.4514211,  207.5070,
 2005-Jul-23 09:00, , , 4.91286640689128, -1.4519167,  207.5173,
 2005-Jul-23 12:00, , , 4.91276156948113, -1.4524124,  207.5275,
 2005-Jul-23 15:00, , , 4.91265669628874, -1.4529080,  207.5378,
 2005-Jul-23 18:00, , , 4.91255178731594, -1.4534036,  207.5480,
 2005-Jul-23 21:00, , , 4.91244684256459, -1.4538992,  207.5583,
 2005-Jul-24 00:00, , , 4.91234186203654, -1.4543947,  207.5685,
 2005-Jul-24 03:00, , , 4.91223684573364, -1.4548903,  207.5788,
 2005-Jul-24 06:00, , , 4.91213179365774, -1.4553858,  207.5890,
 2005-Jul-24 09:00, , , 4.91202670581070, -1.4558812,  207.5993,
 2005-Jul-24 12:00, , , 4.91192158219436, -1.4563767,  207.6095,
 2005-Jul-24 15:00, , , 4.91181642281059, -1.4568721,  207.6198,
 2005-Jul-24 18:00, , , 4.91171122766123, -1.4573675,  207.6300,
 2005-Jul-24 21:00, , , 4.91160599674815, -1.4578629,  207.6403,
 2005-Jul-25 00:00, , , 4.91150073007321, -1.4583582,  207.6505,
 2005-Jul-25 03:00, , , 4.91139542763825, -1.4588535,  207.6608,
 2005-Jul-25 06:00, , , 4.91129008944515, -1.4593488,  207.6710,
 2005-Jul-25 09:00, , , 4.91118471549576, -1.4598441,  207.6813,
 2005-Jul-25 12:00, , , 4.91107930579195, -1.4603393,  207.6915,
 2005-Jul-25 15:00, , , 4.91097386033557, -1.4608345,  207.7018,
 2005-Jul-25 18:00, , , 4.91086837912850, -1.4613297,  207.7120,
 2005-Jul-25 21:00, , , 4.91076286217258, -1.4618249,  207.7223,
 2005-Jul-26 00:00, , , 4.91065730946970, -1.4623200,  207.7326,
 2005-Jul-26 03:00, , , 4.91055172102172, -1.4628151,  207.7428,
 2005-Jul-26 06:00, , , 4.91044609683050, -1.4633102,  207.7531,
 2005-Jul-26 09:00, , , 4.91034043689791, -1.4638053,  207.7633,
 2005-Jul-26 12:00, , , 4.91023474122582, -1.4643003,  207.7736,
 2005-Jul-26 15:00, , , 4.91012900981610, -1.4647953,  207.7838,
 2005-Jul-26 18:00, , , 4.91002324267063, -1.4652903,  207.7941,
 2005-Jul-26 21:00, , , 4.90991743979127, -1.4657853,  207.8044,
 2005-Jul-27 00:00, , , 4.90981160117989, -1.4662802,  207.8146,
 2005-Jul-27 03:00, , , 4.90970572683838, -1.4667751,  207.8249,
 2005-Jul-27 06:00, , , 4.90959981676861, -1.4672700,  207.8351,
 2005-Jul-27 09:00, , , 4.90949387097245, -1.4677648,  207.8454,
 2005-Jul-27 12:00, , , 4.90938788945178, -1.4682597,  207.8557,
 2005-Jul-27 15:00, , , 4.90928187220848, -1.4687545,  207.8659,
 2005-Jul-27 18:00, , , 4.90917581924442, -1.4692492,  207.8762,
 2005-Jul-27 21:00, , , 4.90906973056149, -1.4697440,  207.8864,
 2005-Jul-28 00:00, , , 4.90896360616156, -1.4702387,  207.8967,
 2005-Jul-28 03:00, , , 4.90885744604653, -1.4707334,  207.9070,
 2005-Jul-28 06:00, , , 4.90875125021826, -1.4712281,  207.9172,
 2005-Jul-28 09:00, , , 4.90864501867865, -1.4717227,  207.9275,
 2005-Jul-28 12:00, , , 4.90853875142958, -1.4722173,  207.9378,
 2005-Jul-28 15:00, , , 4.90843244847293, -1.4727119,  207.9480,
 2005-Jul-28 18:00, , , 4.90832610981060, -1.4732065,  207.9583,
 2005-Jul-28 21:00, , , 4.90821973544446, -1.4737010,  207.9686,
 2005-Jul-29 00:00, , , 4.90811332537642, -1.4741955,  207.9788,
 2005-Jul-29 03:00, , , 4.90800687960834, -1.4746900,  207.9891,
 2005-Jul-29 06:00, , , 4.90790039814214, -1.4751845,  207.9994,
 2005-Jul-29 09:00, , , 4.90779388097969, -1.4756789,  208.0096,
 2005-Jul-29 12:00, , , 4.90768732812290, -1.4761733,  208.0199,
 2005-Jul-29 15:00, , , 4.90758073957365, -1.4766677,  208.0302,
 2005-Jul-29 18:00, , , 4.90747411533383, -1.4771621,  208.0404,
 2005-Jul-29 21:00, , , 4.90736745540535, -1.4776564,  208.0507,
 2005-Jul-30 00:00, , , 4.90726075979010, -1.4781507,  208.0610,
 2005-Jul-30 03:00, , , 4.90715402848998, -1.4786450,  208.0712,
 2005-Jul-30 06:00, , , 4.90704726150688, -1.4791392,  208.0815,
 2005-Jul-30 09:00, , , 4.90694045884270, -1.4796334,  208.0918,
 2005-Jul-30 12:00, , , 4.90683362049935, -1.4801276,  208.1021,
 2005-Jul-30 15:00, , , 4.90672674647872, -1.4806218,  208.1123,
 2005-Jul-30 18:00, , , 4.90661983678272, -1.4811159,  208.1226,
 2005-Jul-30 21:00, , , 4.90651289141325, -1.4816101,  208.1329,
 2005-Jul-31 00:00, , , 4.90640591037222, -1.4821042,  208.1431,
 2005-Jul-31 03:00, , , 4.90629889366152, -1.4825982,  208.1534,
 2005-Jul-31 06:00, , , 4.90619184128307, -1.4830923,  208.1637,
 2005-Jul-31 09:00, , , 4.90608475323876, -1.4835863,  208.1740,
 2005-Jul-31 12:00, , , 4.90597762953052, -1.4840803,  208.1842,
 2005-Jul-31 15:00, , , 4.90587047016024, -1.4845742,  208.1945,
 2005-Jul-31 18:00, , , 4.90576327512984, -1.4850682,  208.2048,
 2005-Jul-31 21:00, , , 4.90565604444123, -1.4855621,  208.2151,
 2005-Aug-01 00:00, , , 4.90554877809632, -1.4860559,  208.2253,
 2005-Aug-01 03:00, , , 4.90544147609702, -1.4865498,  208.2356,
 2005-Aug-01 06:00, , , 4.90533413844525, -1.4870436,  208.2459,
 2005-Aug-01 09:00, , , 4.90522676514292, -1.4875374,  208.2562,
 2005-Aug-01 12:00, , , 4.90511935619195, -1.4880312,  208.2665,
 2005-Aug-01 15:00, , , 4.90501191159424, -1.4885249,  208.2767,
 2005-Aug-01 18:00, , , 4.90490443135173, -1.4890187,  208.2870,
 2005-Aug-01 21:00, , , 4.90479691546633, -1.4895124,  208.2973,
 2005-Aug-02 00:00, , , 4.90468936393995, -1.4900060,  208.3076,
 2005-Aug-02 03:00, , , 4.90458177677452, -1.4904997,  208.3179,
 2005-Aug-02 06:00, , , 4.90447415397197, -1.4909933,  208.3281,
 2005-Aug-02 09:00, , , 4.90436649553420, -1.4914869,  208.3384,
 2005-Aug-02 12:00, , , 4.90425880146316, -1.4919804,  208.3487,
 2005-Aug-02 15:00, , , 4.90415107176075, -1.4924740,  208.3590,
 2005-Aug-02 18:00, , , 4.90404330642890, -1.4929675,  208.3693,
 2005-Aug-02 21:00, , , 4.90393550546955, -1.4934610,  208.3796,
 2005-Aug-03 00:00, , , 4.90382766888462, -1.4939544,  208.3898,
 2005-Aug-03 03:00, , , 4.90371979667604, -1.4944478,  208.4001,
 2005-Aug-03 06:00, , , 4.90361188884573, -1.4949413,  208.4104,
 2005-Aug-03 09:00, , , 4.90350394539563, -1.4954346,  208.4207,
 2005-Aug-03 12:00, , , 4.90339596632767, -1.4959280,  208.4310,
 2005-Aug-03 15:00, , , 4.90328795164377, -1.4964213,  208.4413,
 2005-Aug-03 18:00, , , 4.90317990134588, -1.4969146,  208.4516,
 2005-Aug-03 21:00, , , 4.90307181543593, -1.4974079,  208.4619,
 2005-Aug-04 00:00, , , 4.90296369391585, -1.4979011,  208.4721,
 2005-Aug-04 03:00, , , 4.90285553678758, -1.4983943,  208.4824,
 2005-Aug-04 06:00, , , 4.90274734405305, -1.4988875,  208.4927,
 2005-Aug-04 09:00, , , 4.90263911571421, -1.4993807,  208.5030,
 2005-Aug-04 12:00, , , 4.90253085177299, -1.4998738,  208.5133,
 2005-Aug-04 15:00, , , 4.90242255223134, -1.5003669,  208.5236,
 2005-Aug-04 18:00, , , 4.90231421709119, -1.5008600,  208.5339,
 2005-Aug-04 21:00, , , 4.90220584635448, -1.5013530,  208.5442,
 2005-Aug-05 00:00, , , 4.90209744002316, -1.5018461,  208.5545,
 2005-Aug-05 03:00, , , 4.90198899809918, -1.5023391,  208.5648,
 2005-Aug-05 06:00, , , 4.90188052058447, -1.5028320,  208.5750,
 2005-Aug-05 09:00, , , 4.90177200748099, -1.5033250,  208.5853,
 2005-Aug-05 12:00, , , 4.90166345879067, -1.5038179,  208.5956,
 2005-Aug-05 15:00, , , 4.90155487451548, -1.5043108,  208.6059,
 2005-Aug-05 18:00, , , 4.90144625465735, -1.5048036,  208.6162,
 2005-Aug-05 21:00, , , 4.90133759921824, -1.5052965,  208.6265,
 2005-Aug-06 00:00, , , 4.90122890820010, -1.5057893,  208.6368,
 2005-Aug-06 03:00, , , 4.90112018160488, -1.5062821,  208.6471,
 2005-Aug-06 06:00, , , 4.90101141943453, -1.5067748,  208.6574,
 2005-Aug-06 09:00, , , 4.90090262169101, -1.5072676,  208.6677,
 2005-Aug-06 12:00, , , 4.90079378837627, -1.5077603,  208.6780,
 2005-Aug-06 15:00, , , 4.90068491949227, -1.5082529,  208.6883,
 2005-Aug-06 18:00, , , 4.90057601504096, -1.5087456,  208.6986,
 2005-Aug-06 21:00, , , 4.90046707502430, -1.5092382,  208.7089,
 2005-Aug-07 00:00, , , 4.90035809944425, -1.5097308,  208.7192,
 2005-Aug-07 03:00, , , 4.90024908830278, -1.5102234,  208.7295,
 2005-Aug-07 06:00, , , 4.90014004160183, -1.5107159,  208.7398,
 2005-Aug-07 09:00, , , 4.90003095934338, -1.5112084,  208.7501,
 2005-Aug-07 12:00, , , 4.89992184152938, -1.5117009,  208.7604,
 2005-Aug-07 15:00, , , 4.89981268816180, -1.5121934,  208.7707,
 2005-Aug-07 18:00, , , 4.89970349924261, -1.5126858,  208.7810,
 2005-Aug-07 21:00, , , 4.89959427477376, -1.5131782,  208.7913,
 2005-Aug-08 00:00, , , 4.89948501475723, -1.5136706,  208.8016,
 2005-Aug-08 03:00, , , 4.89937571919499, -1.5141629,  208.8119,
 2005-Aug-08 06:00, , , 4.89926638808900, -1.5146552,  208.8222,
 2005-Aug-08 09:00, , , 4.89915702144123, -1.5151475,  208.8325,
 2005-Aug-08 12:00, , , 4.89904761925365, -1.5156398,  208.8428,
 2005-Aug-08 15:00, , , 4.89893818152824, -1.5161320,  208.8531,
 2005-Aug-08 18:00, , , 4.89882870826697, -1.5166242,  208.8634,
 2005-Aug-08 21:00, , , 4.89871919947181, -1.5171164,  208.8737,
 2005-Aug-09 00:00, , , 4.89860965514473, -1.5176086,  208.8840,
 2005-Aug-09 03:00, , , 4.89850007528771, -1.5181007,  208.8943,
 2005-Aug-09 06:00, , , 4.89839045990273, -1.5185928,  208.9047,
 2005-Aug-09 09:00, , , 4.89828080899177, -1.5190849,  208.9150,
 2005-Aug-09 12:00, , , 4.89817112255681, -1.5195769,  208.9253,
 2005-Aug-09 15:00, , , 4.89806140059981, -1.5200690,  208.9356,
 2005-Aug-09 18:00, , , 4.89795164312277, -1.5205610,  208.9459,
 2005-Aug-09 21:00, , , 4.89784185012767, -1.5210529,  208.9562,
 2005-Aug-10 00:00, , , 4.89773202161648, -1.5215449,  208.9665,
 2005-Aug-10 03:00, , , 4.89762215759120, -1.5220368,  208.9768,
 2005-Aug-10 06:00, , , 4.89751225805381, -1.5225287,  208.9871,
 2005-Aug-10 09:00, , , 4.89740232300628, -1.5230205,  208.9974,
 2005-Aug-10 12:00, , , 4.89729235245062, -1.5235123,  209.0078,
 2005-Aug-10 15:00, , , 4.89718234638880, -1.5240041,  209.0181,
 2005-Aug-10 18:00, , , 4.89707230482282, -1.5244959,  209.0284,
 2005-Aug-10 21:00, , , 4.89696222775467, -1.5249877,  209.0387,
 2005-Aug-11 00:00, , , 4.89685211518633, -1.5254794,  209.0490,
 2005-Aug-11 03:00, , , 4.89674196711979, -1.5259711,  209.0593,
 2005-Aug-11 06:00, , , 4.89663178355706, -1.5264627,  209.0696,
 2005-Aug-11 09:00, , , 4.89652156450012, -1.5269544,  209.0799,
 2005-Aug-11 12:00, , , 4.89641130995097, -1.5274460,  209.0903,
 2005-Aug-11 15:00, , , 4.89630101991161, -1.5279375,  209.1006,
 2005-Aug-11 18:00, , , 4.89619069438402, -1.5284291,  209.1109,
 2005-Aug-11 21:00, , , 4.89608033337021, -1.5289206,  209.1212,
 2005-Aug-12 00:00, , , 4.89596993687218, -1.5294121,  209.1315,
 2005-Aug-12 03:00, , , 4.89585950489193, -1.5299036,  209.1419,
 2005-Aug-12 06:00, , , 4.89574903743145, -1.5303950,  209.1522,
 2005-Aug-12 09:00, , , 4.89563853449275, -1.5308864,  209.1625,
 2005-Aug-12 12:00, , , 4.89552799607784, -1.5313778,  209.1728,
 2005-Aug-12 15:00, , , 4.89541742218871, -1.5318692,  209.1831,
 2005-Aug-12 18:00, , , 4.89530681282737, -1.5323605,  209.1934,
 2005-Aug-12 21:00, , , 4.89519616799582, -1.5328518,  209.2038,
 2005-Aug-13 00:00, , , 4.89508548769608, -1.5333431,  209.2141,
 2005-Aug-13 03:00, , , 4.89497477193015, -1.5338343,  209.2244,
 2005-Aug-13 06:00, , , 4.89486402070003, -1.5343256,  209.2347,
 2005-Aug-13 09:00, , , 4.89475323400775, -1.5348167,  209.2451,
 2005-Aug-13 12:00, , , 4.89464241185530, -1.5353079,  209.2554,
 2005-Aug-13 15:00, , , 4.89453155424470, -1.5357990,  209.2657,
 2005-Aug-13 18:00, , , 4.89442066117797, -1.5362901,  209.2760,
 2005-Aug-13 21:00, , , 4.89430973265712, -1.5367812,  209.2863,
 2005-Aug-14 00:00, , , 4.89419876868416, -1.5372723,  209.2967,
 2005-Aug-14 03:00, , , 4.89408776926110, -1.5377633,  209.3070,
 2005-Aug-14 06:00, , , 4.89397673438997, -1.5382543,  209.3173,
 2005-Aug-14 09:00, , , 4.89386566407279, -1.5387453,  209.3276,
 2005-Aug-14 12:00, , , 4.89375455831156, -1.5392362,  209.3380,
 2005-Aug-14 15:00, , , 4.89364341710832, -1.5397271,  209.3483,
 2005-Aug-14 18:00, , , 4.89353224046508, -1.5402180,  209.3586,
 2005-Aug-14 21:00, , , 4.89342102838386, -1.5407089,  209.3690,
 2005-Aug-15 00:00, , , 4.89330978086669, -1.5411997,  209.3793,
 2005-Aug-15 03:00, , , 4.89319849791559, -1.5416905,  209.3896,
 2005-Aug-15 06:00, , , 4.89308717953259, -1.5421813,  209.3999,
 2005-Aug-15 09:00, , , 4.89297582571971, -1.5426720,  209.4103,
 2005-Aug-15 12:00, , , 4.89286443647898, -1.5431627,  209.4206,
 2005-Aug-15 15:00, , , 4.89275301181242, -1.5436534,  209.4309,
 2005-Aug-15 18:00, , , 4.89264155172207, -1.5441441,  209.4413,
 2005-Aug-15 21:00, , , 4.89253005620995, -1.5446347,  209.4516,
 2005-Aug-16 00:00, , , 4.89241852527810, -1.5451253,  209.4619,
 2005-Aug-16 03:00, , , 4.89230695892855, -1.5456159,  209.4723,
 2005-Aug-16 06:00, , , 4.89219535716333, -1.5461064,  209.4826,
 2005-Aug-16 09:00, , , 4.89208371998448, -1.5465969,  209.4929,
 2005-Aug-16 12:00, , , 4.89197204739402, -1.5470874,  209.5033,
 2005-Aug-16 15:00, , , 4.89186033939401, -1.5475779,  209.5136,
 2005-Aug-16 18:00, , , 4.89174859598646, -1.5480683,  209.5239,
 2005-Aug-16 21:00, , , 4.89163681717343, -1.5485587,  209.5343,
 2005-Aug-17 00:00, , , 4.89152500295695, -1.5490491,  209.5446,
 2005-Aug-17 03:00, , , 4.89141315333906, -1.5495395,  209.5549,
 2005-Aug-17 06:00, , , 4.89130126832180, -1.5500298,  209.5653,
 2005-Aug-17 09:00, , , 4.89118934790722, -1.5505201,  209.5756,
 2005-Aug-17 12:00, , , 4.89107739209736, -1.5510103,  209.5859,
 2005-Aug-17 15:00, , , 4.89096540089426, -1.5515006,  209.5963,
 2005-Aug-17 18:00, , , 4.89085337429996, -1.5519908,  209.6066,
 2005-Aug-17 21:00, , , 4.89074131231652, -1.5524809,  209.6170,
 2005-Aug-18 00:00, , , 4.89062921494598, -1.5529711,  209.6273,
 2005-Aug-18 03:00, , , 4.89051708219039, -1.5534612,  209.6376,
 2005-Aug-18 06:00, , , 4.89040491405180, -1.5539513,  209.6480,
 2005-Aug-18 09:00, , , 4.89029271053225, -1.5544414,  209.6583,
 2005-Aug-18 12:00, , , 4.89018047163381, -1.5549314,  209.6687,
 2005-Aug-18 15:00, , , 4.89006819735852, -1.5554214,  209.6790,
 2005-Aug-18 18:00, , , 4.88995588770843, -1.5559114,  209.6893,
 2005-Aug-18 21:00, , , 4.88984354268561, -1.5564014,  209.6997,
 2005-Aug-19 00:00, , , 4.88973116229210, -1.5568913,  209.7100,
 2005-Aug-19 03:00, , , 4.88961874652997, -1.5573812,  209.7204,
 2005-Aug-19 06:00, , , 4.88950629540126, -1.5578710,  209.7307,
 2005-Aug-19 09:00, , , 4.88939380890805, -1.5583609,  209.7411,
 2005-Aug-19 12:00, , , 4.88928128705238, -1.5588507,  209.7514,
 2005-Aug-19 15:00, , , 4.88916872983632, -1.5593405,  209.7617,
 2005-Aug-19 18:00, , , 4.88905613726194, -1.5598302,  209.7721,
 2005-Aug-19 21:00, , , 4.88894350933128, -1.5603199,  209.7824,
 2005-Aug-20 00:00, , , 4.88883084604643, -1.5608096,  209.7928,
 2005-Aug-20 03:00, , , 4.88871814740943, -1.5612993,  209.8031,
 2005-Aug-20 06:00, , , 4.88860541342236, -1.5617889,  209.8135,
 2005-Aug-20 09:00, , , 4.88849264408729, -1.5622786,  209.8238,
 2005-Aug-20 12:00, , , 4.88837983940628, -1.5627681,  209.8342,
 2005-Aug-20 15:00, , , 4.88826699938140, -1.5632577,  209.8445,
 2005-Aug-20 18:00, , , 4.88815412401473, -1.5637472,  209.8549,
 2005-Aug-20 21:00, , , 4.88804121330832, -1.5642367,  209.8652,
 2005-Aug-21 00:00, , , 4.88792826726426, -1.5647262,  209.8756,
 2005-Aug-21 03:00, , , 4.88781528588462, -1.5652156,  209.8859,
 2005-Aug-21 06:00, , , 4.88770226917146, -1.5657050,  209.8963,
 2005-Aug-21 09:00, , , 4.88758921712688, -1.5661944,  209.9066,
 2005-Aug-21 12:00, , , 4.88747612975293, -1.5666837,  209.9170,
 2005-Aug-21 15:00, , , 4.88736300705171, -1.5671731,  209.9273,
 2005-Aug-21 18:00, , , 4.88724984902528, -1.5676624,  209.9377,
 2005-Aug-21 21:00, , , 4.88713665567573, -1.5681516,  209.9480,
 2005-Aug-22 00:00, , , 4.88702342700514, -1.5686409,  209.9584,
 2005-Aug-22 03:00, , , 4.88691016301558, -1.5691301,  209.9687,
 2005-Aug-22 06:00, , , 4.88679686370915, -1.5696192,  209.9791,
 2005-Aug-22 09:00, , , 4.88668352908792, -1.5701084,  209.9895,
 2005-Aug-22 12:00, , , 4.88657015915398, -1.5705975,  209.9998,
 2005-Aug-22 15:00, , , 4.88645675390941, -1.5710866,  210.0102,
 2005-Aug-22 18:00, , , 4.88634331335630, -1.5715757,  210.0205,
 2005-Aug-22 21:00, , , 4.88622983749674, -1.5720647,  210.0309,
 2005-Aug-23 00:00, , , 4.88611632633282, -1.5725537,  210.0412,
 2005-Aug-23 03:00, , , 4.88600277986662, -1.5730427,  210.0516,
 2005-Aug-23 06:00, , , 4.88588919810024, -1.5735316,  210.0619,
 2005-Aug-23 09:00, , , 4.88577558103577, -1.5740205,  210.0723,
 2005-Aug-23 12:00, , , 4.88566192867529, -1.5745094,  210.0827,
 2005-Aug-23 15:00, , , 4.88554824102091, -1.5749983,  210.0930,
 2005-Aug-23 18:00, , , 4.88543451807473, -1.5754871,  210.1034,
 2005-Aug-23 21:00, , , 4.88532075983882, -1.5759759,  210.1137,
 2005-Aug-24 00:00, , , 4.88520696631530, -1.5764647,  210.1241,
 2005-Aug-24 03:00, , , 4.88509313750626, -1.5769534,  210.1345,
 2005-Aug-24 06:00, , , 4.88497927341380, -1.5774421,  210.1448,
 2005-Aug-24 09:00, , , 4.88486537404001, -1.5779308,  210.1552,
 2005-Aug-24 12:00, , , 4.88475143938701, -1.5784195,  210.1656,
 2005-Aug-24 15:00, , , 4.88463746945688, -1.5789081,  210.1759,
 2005-Aug-24 18:00, , , 4.88452346425175, -1.5793967,  210.1863,
 2005-Aug-24 21:00, , , 4.88440942377370, -1.5798853,  210.1966,
 2005-Aug-25 00:00, , , 4.88429534802484, -1.5803738,  210.2070,
 2005-Aug-25 03:00, , , 4.88418123700729, -1.5808623,  210.2174,
 2005-Aug-25 06:00, , , 4.88406709072315, -1.5813508,  210.2277,
 2005-Aug-25 09:00, , , 4.88395290917452, -1.5818393,  210.2381,
 2005-Aug-25 12:00, , , 4.88383869236352, -1.5823277,  210.2485,
 2005-Aug-25 15:00, , , 4.88372444029225, -1.5828161,  210.2588,
 2005-Aug-25 18:00, , , 4.88361015296283, -1.5833044,  210.2692,
 2005-Aug-25 21:00, , , 4.88349583037737, -1.5837928,  210.2796,
 2005-Aug-26 00:00, , , 4.88338147253798, -1.5842811,  210.2899,
 2005-Aug-26 03:00, , , 4.88326707944679, -1.5847694,  210.3003,
 2005-Aug-26 06:00, , , 4.88315265110589, -1.5852576,  210.3107,
 2005-Aug-26 09:00, , , 4.88303818751742, -1.5857458,  210.3210,
 2005-Aug-26 12:00, , , 4.88292368868348, -1.5862340,  210.3314,
 2005-Aug-26 15:00, , , 4.88280915460621, -1.5867222,  210.3418,
 2005-Aug-26 18:00, , , 4.88269458528771, -1.5872103,  210.3522,
 2005-Aug-26 21:00, , , 4.88257998073010, -1.5876984,  210.3625,
 2005-Aug-27 00:00, , , 4.88246534093552, -1.5881865,  210.3729,
 2005-Aug-27 03:00, , , 4.88235066590608, -1.5886745,  210.3833,
 2005-Aug-27 06:00, , , 4.88223595564391, -1.5891625,  210.3936,
 2005-Aug-27 09:00, , , 4.88212121015113, -1.5896505,  210.4040,
 2005-Aug-27 12:00, , , 4.88200642942987, -1.5901385,  210.4144,
 2005-Aug-27 15:00, , , 4.88189161348225, -1.5906264,  210.4248,
 2005-Aug-27 18:00, , , 4.88177676231041, -1.5911143,  210.4351,
 2005-Aug-27 21:00, , , 4.88166187591648, -1.5916021,  210.4455,
 2005-Aug-28 00:00, , , 4.88154695430257, -1.5920900,  210.4559,
 2005-Aug-28 03:00, , , 4.88143199747083, -1.5925778,  210.4663,
 2005-Aug-28 06:00, , , 4.88131700542339, -1.5930656,  210.4766,
 2005-Aug-28 09:00, , , 4.88120197816238, -1.5935533,  210.4870,
 2005-Aug-28 12:00, , , 4.88108691568994, -1.5940410,  210.4974,
 2005-Aug-28 15:00, , , 4.88097181800819, -1.5945287,  210.5078,
 2005-Aug-28 18:00, , , 4.88085668511929, -1.5950164,  210.5182,
 2005-Aug-28 21:00, , , 4.88074151702536, -1.5955040,  210.5285,
 2005-Aug-29 00:00, , , 4.88062631372855, -1.5959916,  210.5389,
 2005-Aug-29 03:00, , , 4.88051107523099, -1.5964792,  210.5493,
 2005-Aug-29 06:00, , , 4.88039580153483, -1.5969667,  210.5597,
 2005-Aug-29 09:00, , , 4.88028049264220, -1.5974542,  210.5701,
 2005-Aug-29 12:00, , , 4.88016514855526, -1.5979417,  210.5804,
 2005-Aug-29 15:00, , , 4.88004976927614, -1.5984291,  210.5908,
 2005-Aug-29 18:00, , , 4.87993435480699, -1.5989166,  210.6012,
 2005-Aug-29 21:00, , , 4.87981890514996, -1.5994039,  210.6116,
 2005-Aug-30 00:00, , , 4.87970342030719, -1.5998913,  210.6220,
 2005-Aug-30 03:00, , , 4.87958790028084, -1.6003786,  210.6323,
 2005-Aug-30 06:00, , , 4.87947234507304, -1.6008659,  210.6427,
 2005-Aug-30 09:00, , , 4.87935675468596, -1.6013532,  210.6531,
 2005-Aug-30 12:00, , , 4.87924112912174, -1.6018405,  210.6635,
 2005-Aug-30 15:00, , , 4.87912546838254, -1.6023277,  210.6739,
 2005-Aug-30 18:00, , , 4.87900977247051, -1.6028148,  210.6843,
 2005-Aug-30 21:00, , , 4.87889404138780, -1.6033020,  210.6947,
 2005-Aug-31 00:00, , , 4.87877827513658, -1.6037891,  210.7050,
 2005-Aug-31 03:00, , , 4.87866247371899, -1.6042762,  210.7154,
 2005-Aug-31 06:00, , , 4.87854663713720, -1.6047633,  210.7258,
 2005-Aug-31 09:00, , , 4.87843076539336, -1.6052503,  210.7362,
 2005-Aug-31 12:00, , , 4.87831485848964, -1.6057373,  210.7466,
 2005-Aug-31 15:00, , , 4.87819891642819, -1.6062243,  210.7570,
 2005-Aug-31 18:00, , , 4.87808293921118, -1.6067112,  210.7674,
 2005-Aug-31 21:00, , , 4.87796692684077, -1.6071981,  210.7778,
 2005-Sep-01 00:00, , , 4.87785087931913, -1.6076850,  210.7882,
 2005-Sep-01 03:00, , , 4.87773479664842, -1.6081719,  210.7985,
 2005-Sep-01 06:00, , , 4.87761867883081, -1.6086587,  210.8089,
 2005-Sep-01 09:00, , , 4.87750252586846, -1.6091455,  210.8193,
 2005-Sep-01 12:00, , , 4.87738633776355, -1.6096322,  210.8297,
 2005-Sep-01 15:00, , , 4.87727011451824, -1.6101190,  210.8401,
 2005-Sep-01 18:00, , , 4.87715385613470, -1.6106057,  210.8505,
 2005-Sep-01 21:00, , , 4.87703756261512, -1.6110924,  210.8609,
 2005-Sep-02 00:00, , , 4.87692123396165, -1.6115790,  210.8713,
 2005-Sep-02 03:00, , , 4.87680487017647, -1.6120656,  210.8817,
 2005-Sep-02 06:00, , , 4.87668847126176, -1.6125522,  210.8921,
 2005-Sep-02 09:00, , , 4.87657203721970, -1.6130387,  210.9025,
 2005-Sep-02 12:00, , , 4.87645556805246, -1.6135253,  210.9129,
 2005-Sep-02 15:00, , , 4.87633906376222, -1.6140118,  210.9233,
 2005-Sep-02 18:00, , , 4.87622252435115, -1.6144982,  210.9337,
 2005-Sep-02 21:00, , , 4.87610594982145, -1.6149846,  210.9441,
 2005-Sep-03 00:00, , , 4.87598934017529, -1.6154710,  210.9545,
 2005-Sep-03 03:00, , , 4.87587269541485, -1.6159574,  210.9649,
 2005-Sep-03 06:00, , , 4.87575601554232, -1.6164438,  210.9753,
 2005-Sep-03 09:00, , , 4.87563930055989, -1.6169301,  210.9857,
 2005-Sep-03 12:00, , , 4.87552255046973, -1.6174163,  210.9961,
 2005-Sep-03 15:00, , , 4.87540576527403, -1.6179026,  211.0065,
 2005-Sep-03 18:00, , , 4.87528894497499, -1.6183888,  211.0169,
 2005-Sep-03 21:00, , , 4.87517208957479, -1.6188750,  211.0273,
 2005-Sep-04 00:00, , , 4.87505519907562, -1.6193612,  211.0377,
 2005-Sep-04 03:00, , , 4.87493827347968, -1.6198473,  211.0481,
 2005-Sep-04 06:00, , , 4.87482131278915, -1.6203334,  211.0585,
 2005-Sep-04 09:00, , , 4.87470431700623, -1.6208195,  211.0689,
 2005-Sep-04 12:00, , , 4.87458728613311, -1.6213055,  211.0793,
 2005-Sep-04 15:00, , , 4.87447022017199, -1.6217915,  211.0897,
 2005-Sep-04 18:00, , , 4.87435311912507, -1.6222775,  211.1001,
 2005-Sep-04 21:00, , , 4.87423598299454, -1.6227634,  211.1105,
 2005-Sep-05 00:00, , , 4.87411881178261, -1.6232493,  211.1209,
 2005-Sep-05 03:00, , , 4.87400160549146, -1.6237352,  211.1313,
 2005-Sep-05 06:00, , , 4.87388436412331, -1.6242211,  211.1417,
 2005-Sep-05 09:00, , , 4.87376708768035, -1.6247069,  211.1522,
 2005-Sep-05 12:00, , , 4.87364977616479, -1.6251927,  211.1626,
 2005-Sep-05 15:00, , , 4.87353242957883, -1.6256785,  211.1730,
 2005-Sep-05 18:00, , , 4.87341504792468, -1.6261642,  211.1834,
